date,ville,annee,marque,modele,couleur,km,vin,prix
2026-03-18,Montréal,2024,Acura,Integra Type S,White,24236,19UDE5G90RA800584,55800
2026-04-01,Montréal,2007,Acura,Mdx Tech Pkg,Black,172380,2HNYD28377H523467,1200
2026-03-11,Montréal,2014,Acura,MDX Tech Pkg,Black,224056,5FRYD4H61EB503129,6600
2026-04-02,Québec,2016,Acura,Mdx,White,146015,5FRYD4H40GB507707,12900
2026-03-26,Québec,2017,Acura,Mdx Elite Pkg,Gray,118177,5FRYD4H81HB505436,17600
2026-03-26,Québec,2017,Acura,Mdx Nav Pkg,Blue,245162,5FRYD4H40HB504274,9000
2026-03-04,Montréal,2018,Acura,MDX Navi,Black,166649,5J8YD4H4XJL802336,18000
2026-02-25,Montréal,2020,Acura,MDX A-Spec,Gray,94774,5J8YD4H04LL803496,29000
2026-04-09,Québec,2020,Acura,Mdx A-Spec,Blue,114319,5J8YD4H06LL802673,28800
2026-02-25,Montréal,2022,Acura,MDX A-Spec,Gray,85398,5J8YE1H05NL801089,40500
2026-03-04,Montréal,2022,Acura,MDX Platinum Elite,Blue,55423,5J8YE1H81NL803606,45600
2026-03-11,Montréal,2023,Acura,MDX A-Spec,Gray,60843,5J8YE1H01PL800265,49000
2026-04-08,Montréal,2023,Acura,Mdx A-Spec,Black,53442,5J8YE1H09PL801390,51600
2026-04-15,Montréal,2024,Acura,Mdx,White,45027,5J8YE1H01RL801645,53750
2026-03-04,Montréal,2024,Acura,MDX A-Spec,Black,23282,5J8YE1H0XRL803149,55400
2026-03-25,Montréal,2024,Acura,Mdx A-Spec,,16215,NOVIN-C49788D784,55800
2026-04-01,Montréal,2024,Acura,Mdx A-Spec,White,79329,5J8YE1H01RL802844,50000
2026-04-08,Montréal,2024,Acura,Mdx Platinum Elite,Gray,30551,5J8YE1H82RL800994,58800
2026-03-26,Québec,2024,Acura,Mdx W/A-Spec Package,Black,71022,5J8YE1H0XRL800462,51500
2026-03-25,Montréal,2021,Acura,Rdx A-Spec,,43417,NOVIN-347410DB54,37000
2026-04-15,Montréal,2023,Acura,Rdx,White,30105,5J8TC2H81PL803999,48800
2026-04-01,Montréal,2023,Acura,Rdx Platinum Elite A-Spec,White,31838,5J8TC2H86PL803979,48600
2026-04-01,Montréal,2024,Acura,Rdx A-Spec,Blue,32376,5J8TC2H65RL804591,48800
2026-03-25,Montréal,2025,Acura,Rdx Sh-Awd W/A-Spec Pkg Sport Utilit,GRAY,3982,5J8TC2H65SL804404,53700
2026-03-11,Montréal,2017,Acura,TLX V6 Tech,Black,135615,19UUB3F52HA800967,14200
2026-02-25,Montréal,2019,Acura,TLX Tech A-Spec,Black,109209,19UUB3F67KA801564,25300
2026-04-02,Québec,2021,Acura,Tlx,White,120524,19UUB6F33MA800891,21600
2026-03-25,Montréal,2021,Acura,Tlx Tech,,68683,NOVIN-BF382C9FD4,22600
2026-03-11,Montréal,2022,Acura,TLX Type S,WHITE,65572,19UUB7F03NA800175,44200
2026-03-11,Montréal,2021,Alfa Romeo,Stelvio TI,White,81961,ZASPAKBN0M7D12632,24000
2026-04-15,Montréal,2022,Alfa Romeo,Stelvio,Black,68920,ZASPAKBN6N7D44714,23800
2026-04-15,Montréal,2022,Alfa Romeo,Stelvio,Red,74323,ZASPAKBN4N7D31461,23600
2026-04-08,Montréal,2022,Alfa Romeo,Stelvio Veloce,Black,41357,ZASPAKBN9N7D49132,28400
2026-04-08,Montréal,2023,Argo,Frontier 6X6 650,GREEN,486,2DG6BAA04PNM21290,7400
2026-03-11,Montréal,2018,Audi,A3 Sedan Progressiv,White,109188,WAUE8GFF6J1071750,10800
2026-04-01,Montréal,2018,Audi,A3 Sedan Komfort,Black,85328,WAUAUGFF6J1068762,10200
2026-03-26,Québec,2022,Audi,A3 Premium,WHITE,69018,WAUGUCGY6NA037097,22800
2026-04-15,Montréal,2023,Audi,A3 Sedan,WHITE,45383,WAUGUCGY8PA079404,25400
2026-03-04,Montréal,2025,Audi,A3 Sedan 40 TFSI Quattro,White,10168,WAUGUCGY5SA074606,33800
2026-03-25,Montréal,2017,Audi,A4 Progressiv,Red,191212,WAUENAF40HN018453,7400
2026-04-01,Montréal,2017,Audi,A4 Technik,Black,32137,WAUFNAF40HN039890,21200
2026-03-26,Québec,2019,Audi,A4 Sedan Progressiv,White,116396,WAUENAF48KN001097,18000
2026-04-08,Montréal,2025,Audi,A4 Sedan 45 Tfsi Quattro,BLACK,7342,WAUAAAF43SN000496,36000
2026-04-15,Montréal,2022,Audi,A5 Coupe,Black,56313,WAUUAAF59NA023363,33000
2026-03-04,Montréal,2022,Audi,A5 Sportback Progressiv,Red,66395,WAUFACF54NA030242,32200
2026-03-04,Montréal,2023,Audi,A5 Sportback Technik,Black,54954,WAUEACF50PA020578,37000
2026-04-15,Montréal,2025,Audi,A5,Blue,1122,WAU2BCFU5SN038969,49400
2026-04-01,Montréal,2019,Audi,A6 Progressiv,Black,69553,WAUK2AF28KN052562,18400
2026-04-15,Montréal,2013,Audi,A7,Gray,234428,WAU3GCFC3DN143137,5400
2026-04-15,Montréal,2017,Audi,A7,Red,167740,WAUW3AFC3HN031781,19100
2026-03-04,Montréal,2022,Audi,A7 Sportback Technik,Blue,70914,WAUTPBF26NN020919,42200
2026-03-04,Montréal,2022,Audi,A7 Sportback Technik,Black,33469,WAUV2AF22NN011619,47400
